"Year","Source","Target","Type","export_val","import_val"
2017,"svk","ago","directed",1465133,29137.27
2017,"svn","ago","directed",443428,143609.28
2017,"swe","ago","directed",7619119,105468
2017,"tgo","ago","directed",245956,557623.98
2017,"tun","ago","directed",3188595,0
2017,"tur","ago","directed",186337685,1285335.01
2017,"tza","ago","directed",10237502,2454
2017,"uga","ago","directed",1718281,327375.15
2017,"ukr","ago","directed",30115308,61814.47
2017,"ury","ago","directed",3874241,0
2017,"usa","ago","directed",316297523,2479147055
2017,"zaf","ago","directed",637059574,1337058954
2017,"zmb","ago","directed",2116903,261780.51
2017,"arm","aia","directed",0,192504.51
2017,"atg","aia","directed",165745,72859.45
2017,"aus","aia","directed",0,203143.17
2017,"aut","aia","directed",42215,39757
2017,"aze","aia","directed",0,242333
2017,"blr","aia","directed",0,1800
2017,"blz","aia","directed",0,3511
2017,"bmu","aia","directed",0,2100
2017,"bra","aia","directed",787473,89245.07
2017,"can","aia","directed",964806,4448
2017,"che","aia","directed",6093,0
2017,"chl","aia","directed",82474,0
2017,"cmr","aia","directed",0,157853
2017,"cze","aia","directed",115713,97349
2017,"deu","aia","directed",349757,19493
2017,"dnk","aia","directed",178372,14859.1
2017,"dom","aia","directed",549666,0
2017,"esp","aia","directed",71259,1325
2017,"fji","aia","directed",0,21819
2017,"fra","aia","directed",16825254,1263901.92
2017,"gbr","aia","directed",707527,147159.47
2017,"grc","aia","directed",110117,1242384
2017,"guy","aia","directed",147543,26367
2017,"hun","aia","directed",45717,0
2017,"idn","aia","directed",10380,141646.07
2017,"ind","aia","directed",379643,0
2017,"irl","aia","directed",0,1692.95
2017,"isr","aia","directed",247000,277096.52
2017,"ita","aia","directed",288723,24292
2017,"jam","aia","directed",260820,0
2017,"jpn","aia","directed",2413537,3210
2017,"kaz","aia","directed",0,40042
2017,"kgz","aia","directed",0,1407
2017,"kna","aia","directed",294706,386354.03
2017,"kor","aia","directed",23988,88879.9
2017,"kwt","aia","directed",333785,0
2017,"lka","aia","directed",0,8376
2017,"lva","aia","directed",66168,0
2017,"mex","aia","directed",335145,80082
2017,"mus","aia","directed",1534,0
2017,"nld","aia","directed",858838,0
2017,"nor","aia","directed",15530,0
2017,"nzl","aia","directed",1064,96122.34
2017,"per","aia","directed",16563,0
2017,"phl","aia","directed",58000,13617.42
2017,"pol","aia","directed",3599562,52601
2017,"prt","aia","directed",21929,0
2017,"rus","aia","directed",0,6049
2017,"sgp","aia","directed",0,13259
2017,"slb","aia","directed",0,3472
2017,"svk","aia","directed",0,141162.59
2017,"swe","aia","directed",232568,471739.34
2017,"tur","aia","directed",79258,1738
2017,"ukr","aia","directed",15100,6046
2017,"ury","aia","directed",0,3879.24
2017,"usa","aia","directed",44012363,3843975.31
2017,"vct","aia","directed",7160,1001
2017,"are","alb","directed",102354,2033804
2017,"arg","alb","directed",6381031.53,257544.83
2017,"arm","alb","directed",29789,358657.82
2017,"aus","alb","directed",3128951,1817488.54
2017,"aut","alb","directed",47817782.62,24013211.5
2017,"aze","alb","directed",70715,63154
2017,"bgd","alb","directed",2659152,0
2017,"bgr","alb","directed",88685752.54,20418111.08
2017,"bih","alb","directed",21886072.92,12886166.66
2017,"blr","alb","directed",401800,1414424.93
2017,"bmu","alb","directed",0,6974
2017,"bol","alb","directed",0,41445.24
2017,"bra","alb","directed",28730367.78,1136999.4
2017,"brn","alb","directed",0,1468
2017,"can","alb","directed",15701825.55,8622394.93
2017,"che","alb","directed",48140566.71,19241246.24
2017,"chl","alb","directed",69603.32,552782.8
2017,"chn","alb","directed",316015699,180094938.4
2017,"cmr","alb","directed",115375.94,28414
2017,"cog","alb","directed",0,4860
2017,"col","alb","directed",2721016.93,232731.53
2017,"cpv","alb","directed",0,117394.81
2017,"cri","alb","directed",73130.37,0
2017,"cym","alb","directed",0,1552217
2017,"cyp","alb","directed",6265572.08,35848.61
2017,"cze","alb","directed",38128294.6,25643893.93
2017,"deu","alb","directed",338667841,112260995.3
2017,"dnk","alb","directed",22012984.63,1622230.66
2017,"dom","alb","directed",11400,669231.88
2017,"dza","alb","directed",20131041.96,456181
2017,"ecu","alb","directed",11690292.17,964727
2017,"egy","alb","directed",38608805.82,6446813.1
2017,"esp","alb","directed",91652159.05,128996212.3
2017,"est","alb","directed",450264,6457885.59
2017,"eth","alb","directed",75771.91,0
2017,"fin","alb","directed",3947405,1147339.4
2017,"fra","alb","directed",56583057.86,113011957.4
2017,"gbr","alb","directed",25114280.99,4104936.17
2017,"geo","alb","directed",50645,221431
2017,"gha","alb","directed",30739,10068.25
2017,"grc","alb","directed",391572686,100833503.6
2017,"hkg","alb","directed",4605864.27,7907840.77
2017,"hnd","alb","directed",52531,24470
2017,"hrv","alb","directed",17041433.05,119194.14
2017,"hun","alb","directed",86248221.6,24546469.64
2017,"idn","alb","directed",10230227.46,131092
2017,"ind","alb","directed",19220611.6,36134400.83
2017,"irl","alb","directed",10853270.7,3915587.66
2017,"irq","alb","directed",0,1332248
2017,"isl","alb","directed",35061,132129.33
2017,"isr","alb","directed",7261603.11,973436.17
2017,"ita","alb","directed",1276299981,1148956919
2017,"jam","alb","directed",0,123254
2017,"jor","alb","directed",437774,60609
2017,"jpn","alb","directed",13577077.48,11183032.87
2017,"kaz","alb","directed",2343995.64,521120.18
2017,"ken","alb","directed",63654,22298.01
2017,"kgz","alb","directed",186015,9727
2017,"khm","alb","directed",9354,0
2017,"kor","alb","directed",10094216.81,4435345.5
2017,"kwt","alb","directed",84551,2483896.71
2017,"lbn","alb","directed",132583,209182
2017,"lka","alb","directed",9404062,121744.04
2017,"ltu","alb","directed",3373372.14,1300823.06
2017,"lva","alb","directed",1673152.57,591425.68
2017,"mar","alb","directed",772627.18,0
2017,"mda","alb","directed",244888,511835.11
2017,"mdg","alb","directed",0,27721
2017,"mex","alb","directed",3127328,4626830.32
2017,"mhl","alb","directed",0,1249758
2017,"mkd","alb","directed",72654477.74,70169244.69
2017,"mli","alb","directed",0,133305.57
2017,"mmr","alb","directed",9931,100833.9
2017,"mne","alb","directed",12238232.32,37997492.45
2017,"mng","alb","directed",0,238573.43
2017,"moz","alb","directed",18023,39657.35
2017,"mrt","alb","directed",0,10293.71
2017,"mus","alb","directed",145286,395009.53
2017,"mys","alb","directed",3882591.45,258341.85
2017,"nga","alb","directed",0,60862.9
2017,"nic","alb","directed",0,234498
2017,"nld","alb","directed",45802396.72,5757509.14
2017,"nor","alb","directed",1759050.57,1952115.09
2017,"nzl","alb","directed",114385,326550.66
2017,"omn","alb","directed",172793,125954.05
2017,"pak","alb","directed",891959.97,0
2017,"per","alb","directed",425368.58,719620.42
2017,"phl","alb","directed",72787,737678.32
2017,"pol","alb","directed",52923740.16,15278297.54
2017,"prt","alb","directed",10137289.71,335771.15
2017,"pry","alb","directed",681570,772742
2017,"qat","alb","directed",1307623.64,0
2017,"rou","alb","directed",67441230.4,40722809.14
2017,"rus","alb","directed",75010113.28,15666056.22
2017,"sau","alb","directed",1151462.87,0
2017,"sdn","alb","directed",60068,6356.56
2017,"sen","alb","directed",92175,5767154.21
2017,"sgp","alb","directed",804582.6,624468.89
2017,"sle","alb","directed",0,112122.55
2017,"slv","alb","directed",0,9864
2017,"srb","alb","directed",230828678.4,71108015.7
2017,"stp","alb","directed",0,8714.9
2017,"svk","alb","directed",31375982.99,6063099.89
2017,"svn","alb","directed",45132627.32,7422376.93
2017,"swe","alb","directed",7430454.85,18723505.97
2017,"syc","alb","directed",0,19497.68
2017,"tgo","alb","directed",0,8583.75
2017,"tha","alb","directed",1546051.65,0
2017,"tun","alb","directed",10958573.55,609425.03
2017,"tur","alb","directed",420846026.1,25827428.4
2017,"uga","alb","directed",156852.29,0
2017,"ukr","alb","directed",19586770.66,5518427.59
2017,"ury","alb","directed",1567223,222579.81
2017,"usa","alb","directed",54445614.44,40819213.95
2017,"vct","alb","directed",0,1864
2017,"vnm","alb","directed",10447930.98,0
2017,"zaf","alb","directed",1393219,700082
2017,"arg","and","directed",15122,28543
2017,"arm","and","directed",0,1374.3
2017,"atg","and","directed",0,1878
2017,"aut","and","directed",6870066,1344986.02
2017,"bdi","and","directed",0,23476
2017,"bgr","and","directed",79396,16766
2017,"bih","and","directed",0,5265
2017,"blr","and","directed",0,2300
2017,"bra","and","directed",100293,29321.75
2017,"can","and","directed",137211,164106.59
2017,"che","and","directed",9476720,350792.1
2017,"chl","and","directed",97049,565434
2017,"chn","and","directed",1180000,85995
2017,"cmr","and","directed",1380,45333
2017,"col","and","directed",284307,754683
2017,"cpv","and","directed",0,100661.04
2017,"cyp","and","directed",6079,0
2017,"cze","and","directed",9751442,211322.25
2017,"deu","and","directed",44136607,2067970.16
2017,"dnk","and","directed",1216232,7753
2017,"dom","and","directed",4068,1595
2017,"ecu","and","directed",1064,0
2017,"esp","and","directed",997972980,31136018.1
2017,"est","and","directed",11743,18343.84
2017,"fin","and","directed",384520,1685432.63
2017,"fra","and","directed",248328310,16158045.6
2017,"gbr","and","directed",9829277,313870
2017,"grc","and","directed",322004,694204.13
2017,"guy","and","directed",0,153832.45
2017,"hkg","and","directed",641685,192695.55
2017,"hnd","and","directed",0,98870
2017,"hun","and","directed",63728,1153
2017,"idn","and","directed",0,32328
2017,"ind","and","directed",297210,0
2017,"irl","and","directed",350180,82060.48
2017,"isl","and","directed",0,9954
2017,"isr","and","directed",17000,34000
2017,"ita","and","directed",29143639,564961.47
2017,"jpn","and","directed",317529,20390
2017,"kor","and","directed",206455,114561.63
2017,"kwt","and","directed",7882,1910662
2017,"lbn","and","directed",0,302257
2017,"lka","and","directed",0,15305394.73
2017,"ltu","and","directed",454386,27973
2017,"lva","and","directed",254086,0
2017,"mda","and","directed",0,44473.29
2017,"mex","and","directed",339882,934194.44
2017,"mkd","and","directed",6095,40261.55
2017,"mli","and","directed",0,58359
2017,"mmr","and","directed",12709771,56243.6
2017,"mne","and","directed",0,147021
2017,"moz","and","directed",0,16084
2017,"mrt","and","directed",0,6395976.73
2017,"mys","and","directed",307566,297253.26
2017,"nga","and","directed",0,277122
2017,"nic","and","directed",21241,0
2017,"nld","and","directed",16670819,3426243
2017,"nor","and","directed",45228,3293991
2017,"nzl","and","directed",0,1009
2017,"per","and","directed",0,1830
2017,"phl","and","directed",340778,1479829.94
2017,"plw","and","directed",0,45062.73
2017,"pol","and","directed",3161046,1580280.88
2017,"prt","and","directed",3686389,178444.19
2017,"pry","and","directed",2540,0
2017,"rou","and","directed",231834,56223
2017,"rus","and","directed",6255056,4241
2017,"sdn","and","directed",0,25991.34
2017,"sgp","and","directed",117933,253923.38
2017,"slv","and","directed",0,77336.54
2017,"srb","and","directed",21063,36478
2017,"svk","and","directed",80912,142551.76
2017,"svn","and","directed",57420,39462.99
2017,"swe","and","directed",1250501,11600
2017,"syc","and","directed",35429,12348.58
2017,"tgo","and","directed",0,1762
2017,"tun","and","directed",52776,22606
2017,"tur","and","directed",268375,80414
2017,"tza","and","directed",296983,64557
2017,"ukr","and","directed",25911,3522
2017,"ury","and","directed",0,41798.66
2017,"usa","and","directed",2021150,13157963.28
2017,"zaf","and","directed",63697,182075.36
2017,"zmb","and","directed",0,95926.28
2017,"alb","are","directed",2033804,102354
2017,"arg","are","directed",217808344,45944993.9
2017,"arm","are","directed",92412863,85641040.69
2017,"atg","are","directed",5031,3218256.92
2017,"aus","are","directed",1263325724,1474376404
2017,"aut","are","directed",669841799,127625643.5
2017,"aze","are","directed",14344336,8205266.87
2017,"bdi","are","directed",38381439,50145276.75
2017,"bgr","are","directed",185834680,30079411.83
2017,"bih","are","directed",11027913,8162216.89
2017,"blr","are","directed",62490800,11478351.17
2017,"blz","are","directed",102787,3434649.4
2017,"bmu","are","directed",0,36894.51
2017,"bol","are","directed",365654512,6841907.64
2017,"bra","are","directed",2460939116,171485909.7
2017,"brn","are","directed",3751303,5042301.57
2017,"can","are","directed",902237684,104502935.4
2017,"che","are","directed",3977293763,9977865744
2017,"chl","are","directed",140049533,41828427.85
2017,"chn","are","directed",28554564532,11525115402
2017,"cmr","are","directed",9931228,57951551.37
2017,"cog","are","directed",26642423,38679861.4
2017,"col","are","directed",25456033,17516468.73
2017,"cpv","are","directed",0,513520.81
2017,"cyp","are","directed",54521357,22363875.98
2017,"cze","are","directed",837176984,94515234.02
2017,"deu","are","directed",12247696652,1082706722
2017,"dnk","are","directed",435552505,22966735.03
2017,"dom","are","directed",9410122,8543134
2017,"dza","are","directed",48175482,219393849
2017,"ecu","are","directed",41222106,13111705.22
2017,"egy","are","directed",2692828613,870608914.6
2017,"esp","are","directed",1963492845,368366374
2017,"est","are","directed",45420090,3214907.57
2017,"fin","are","directed",346636219,11054684.03
2017,"fji","are","directed",4389868,4163487.7
2017,"fra","are","directed",3794223921,1158333201
2017,"gbr","are","directed",9572345912,2156065790
2017,"geo","are","directed",37325440,141930191
2017,"gha","are","directed",800753480,300433916
2017,"grc","are","directed",278264959,62042884.91
2017,"guy","are","directed",53035358,2378509.75
2017,"hkg","are","directed",5993887918,2762428849
2017,"hnd","are","directed",2311938,391868.79
2017,"hrv","are","directed",221522,60296.98
2017,"hun","are","directed",197356793,11912497.67
2017,"idn","are","directed",1628247603,2055454065
2017,"ind","are","directed",27978776799,22209256477
2017,"irl","are","directed",450830773,27710374.3
2017,"isl","are","directed",2565640,684767.2
2017,"ita","are","directed",5948698976,1106308139
2017,"jam","are","directed",14323078,3651540.43
2017,"jor","are","directed",321829717,973425837.1
2017,"jpn","are","directed",6972656548,19174185096
2017,"kaz","are","directed",556120109,83354615.76
2017,"ken","are","directed",254203013,1272063395
2017,"kgz","are","directed",30686897,8578198.77
2017,"kna","are","directed",0,70390.47
2017,"kor","are","directed",5387924802,8997489550
2017,"kwt","are","directed",566651578,2876312503
2017,"lbn","are","directed",44122613,85321409.88
2017,"lka","are","directed",298596281,1481383133
2017,"ltu","are","directed",150950608,3301048.29
2017,"lva","are","directed",121968327,5882968.1
2017,"mda","are","directed",2436512,1856118.63
2017,"mdg","are","directed",78788808,259284516.6
2017,"mex","are","directed",308171202,381432924.4
2017,"mkd","are","directed",3061486,1682113.19
2017,"mli","are","directed",29494255,35868759.65
2017,"mmr","are","directed",70350225,93281104.16
2017,"mne","are","directed",1557872,291616.15
2017,"mng","are","directed",2927541,1834257.91
